,tagline
653,Someone Is Playing A Very Deadly Game...
654,"In love and life, one big night can change everything."
655,"In a town with no justice, there is only one law... Every man for himself."
656,It's about crime. It's about payback. It's about survival.
657,You have one minute to decide the rest of your life.
658,Not all surgery is intended to cure.
659,Two good cops. One bad situation.
660,No Fear. No Limits. No Brakes. Just Ducks.
661,"Wanted: For chicanery, skulduggery, tomfoolery and habitual bungling!"
662,NOW...on the MOTION PICTURE SCREEN!
663,Caught in a world where they don't belong... they have one chance to escape!
664,Herbie will honk his way into your heart.
665,The Loveable Bug's back doin' his thing!
666,"All the heart, all the excitement of a great frontier adventure!"
667,"Meet the people, the pleasure, the entertainment of the year! All the love, laughter and drama that life can hold, poured into one unforgettable motion picture!"
668,"""I was a Teen-age boy!"""
669,THE ADVENTURE OF ADVENTURES!
670,It takes a Siamese secret agent to unravel the PURR-fect crime!
671,The mightiest motion picture of them all!
672,One dream. Four Jamaicans. Twenty below zero.
673,Ya Gotta Believe!
674,The greatest love story ever told.
675,Tired of living in a Medieval mess...Merlin uses all his magic powers to change a scrawny little boy into a legendary hero!
676,"For the good of all men, and the love of one woman, he fought to uphold justice by breaking the law."
677,It's supercalifragilisticexpialidocious!
678,The One...The Only...The FABULOUS...
679,Brazzle Dazzle Brilliance!
680,You'll beWITCHED! You'll beDAZZLED! You'll be swept into a world of enchantment BEYOND ANYTHING BEFORE!
681,A world of wonders in One Great Picture
682,A story of two friends who didn't know they were supposed to be enemies.
683,Her life is no fairy tale.
684,The happiest sound in all the world!
685,40 Stories. Twelve Terrorists. One Cop.
686,God made him simple. Science made him a god.
687,In every life there comes a time when that dream you dream becomes that thing you do.
688,Some love lasts a lifetime. Real love lasts forever.
689,Only his passion for women could rival his passion for painting.
690,What's forgotten is not always gone.
691,Prey For The Hunters
692,A four hundred year old work-in-progress.
693,They found the American Dream ... One bullet at a time!
694,"On October 16, 1996, the one year anniversary of the Million Man March, Spike Lee invites you to lift your head, raise your voice, and...get on the bus."
695,A time without pity. A society without mercy. A love without equal.
696,My only love sprung from my only hate.
697,Cocktails first. Questions later.
698,When friendship runs deeper than blood.
699,The Spectacular Adventure Continues!
700,"Foot-free Fred and joyous Ginger...in their gayest, gladdest show!"
701,Hate is like a loaded gun!
702,An Original Philip Marlowe Mystery
703,It's Scrumdiddlyumptious!
704,Apparitions? Evils? Corruptions?
705,Woody Allen takes a nostalgic look at the future.
706,"A tale of murder, lust, greed, revenge, and seafood."
707,He wasn't the messiah. He was a very naughty boy.
708,The disguise surprise comedy of the year!
709,Too Handsome. Too Young. Too Liberal. Doesn't have a chance. He's PERFECT!
710,"The movie with 20,000-mile or one-million-laughs guarantee!"
711,They’re young… they’re in love… and they kill people.
712,SPENCER TRACY in his most suspenseful role...ERNEST HEMINGWAY'S story of Heroism...Defeat...Victory!
713,If a woman answers...hang on for dear life!
714,Have the time of your life.
715,Every dog has his day.
716,The first casualty of war is innocence.
717,"Bernie may be dead, but he's still the life of the party!"
718,A brutal murder. A brilliant killer. A cop who can't resist the danger.
719,"The Ultimate Story of Sex, Drugs & Rock 'N' Roll"
720,Play At Your Own Risk.
721,Lie. Cheat. Steal. All in a day’s work.
722,He is afraid. He is alone. He is three million light years from home.
723,"Greater than ""David Copperfield"" !"
724,You can't stop the thunder.
725,Up there with the best of the best.
726,The bad boy from a good family.
727,"...Blanche, who wanted so much to stay a lady..."
728,In a sleepy midwestern town... A horrifying evil is about to rise again!
729,One foot in the door. The other one in the gutter.
730,Behind Every Great Man Is A Woman... Wishing He'd Get The Hell Out Of Her Way.
731,"One family, one murder, too many lies."
732,"You may not like what he does, but are you prepared to give up his right to do it?"
733,"In the Voting Booth, No One Can Hear You Scream"
734,when life is at its finest...when love is at its fullest...
735,Dishes. Relationships. Wind. This guy breaks everything.
736,"There's everything you've ever known about adventure, and then there's The Abyss."
737,Lock your doors. Bolt your windows. There's something in THE FOG!
738,1997. New York City is now a maximum security prison. Breaking out is impossible. Breaking in is insane.
739,Imagine your worst fear a reality
740,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.
741,See it with someone you've paid for.
742,Man Wasn't Meant To Fly... Until Now!
743,The untold story of the Rumble in the Jungle.
744,Winner of the 1993 Academy Award for Best Animated Short.
745,Savage TRUTH! Stronger than Fiction!
746,Bullets!  Women! -- Can't Hold a Man Like That!
747,Terrific... and true!
748,"A savage, sweeping epic of society in chaos."
749,An interior of violence.
750,Many people write to God. Somebody is answering.
751,Half man.  Half wolf.  Total terror.
752,"The award-winning film of American lives, American courage, and the..."
753,Vote first.  Ask questions later.
754,"A celebration of youth, friendship, and the everlasting magic of the movies."
755,Lust...Murder...Dessert. Bon Appetit!
756,A futuristic comic feast.
757,"Each of us is matched somewhere in the world, by our exact double - someone who shares our thoughts and dreams"
758,"It's April in Italy, and anything can happen...even love."
759,It explodes in the no-man's land no picture ever dared cross before!
760,Seduction. Betrayal. Murder. Who's conning who?
761,There's definitely magic in the air
762,"In love, there are no boundaries."
763,On a magical Greek island a soldier is about to discover that it is better to make love instead of war
764,"A film about life, laughter, and the occasional miracle."
765,A life lived in fear... ...is a life half lived
766,"A softcore movie, Dr. Death, a chocolate milkshake, a nosey blonde and ""The Carol Burnett Show."" Solving this mystery is going to be murder."
767,A love story... With strings attached!
768,Having a ball... Wish you were here.
769,"If he's crazy, what does that make you?"
770,The movie that'll have you rolling in the aisles.
771,The Adventure Continues...
772,It's as real as the feelings you feel.
773,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.
774,It's only a state of mind.
775,This Time It's War
776,For three men the Civil War wasn't hell. It was practice.
777,"If you don't remember the sixties, don't worry - neither did they."
778,Life is in their hands. Death is on their minds.
779,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven."
780,This is the end...
781,There were three men in her life. One to take her... one to love her... and one to kill her.
782,The Empire Falls...
783,There are angels on the streets of Berlin.
784,Hunted by men ... Sought by WOMEN!
785,Three Decades of Life in the Mafia.
786,In space no one can hear you scream.
787,Trapped in time. Surrounded by evil. Low on gas.
788,Danger...Like Passion...Runs Deep
789,The Greatest Shakespeare Film
790,One Vicious Hitman. One Fierce Cop. Ten Thousand Bullets.
791,The master of suspense moves his cameras into the icy blackness of the unexplored!
792,They'll never get caught. They're on a mission from God.
793,"I don't feel I have to wipe everybody out, Tom. Just my enemies."
794,"Vietnam can kill me, but it can’t make me care."
